,Wi,Xi,Yi,Ti,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11
0,(7+0j),(123.30411761931985+0j),(-150.3975114263221+0j),(3+0j),(15.709944238455675+20.492401716502968j),(12.554760067349221-13.44226847461599j),(-10.478822463152893-1.082417408441282j),(-0.5360429821495684+4.505183283300628j),(-0.10663283987923004+12.30354552379236j),(-9.304713557901357+11.427173954315188j),(-6.051671541981774-6.101611372113682j),(-2.4158569924281488-5.166672503077155j),(18.780503117809747+10.973164777469307j),(-16.993708943347958-2.6655155001748874j),(0.1796179408763829+5.4297239967596855j),(1.1186572272609898+4.4553645958428305j)
1,(7+0j),(-75.70805854905552+0j),(-162.5846870027761+0j),(11+0j),(-13.108054268517675-4.912916284743044j),(0.26370149972823914-4.6827466585848745j),(16.460457192803347+3.2644574572314777j),(-19.82364753473564-9.502944896673961j),(-5.979192917865779+3.36753414018243j),(-16.94332035384609-17.27096396844835j),(11.244734949903435-11.181666791115823j),(-6.671636923878007-5.065871483723891j),(9.219427004317547+2.762449552852388j),(-13.29015617682327-3.610023424743303j),(3.107107235422571-13.654715632630424j),(10.591812065140045+10.280822742337076j)
2,(3+0j),(171.37775392665193+0j),(142.3740527761711+0j),(6+0j),(-7.807988077179131+4.648190382989855j),(-10.341360119353492+1.6795521018935358j),(-22.24665487601758+4.623808067636995j),(-12.509615276223588+5.507400293306151j),(-3.5886425494537-0.1158973111899808j),(-0.12287828016008578-15.783462254842268j),(16.751671844221036-7.97820266015677j),(5.837951396619868+14.491750602989717j),(20.36678404024052+8.665004484885076j),(7.170849192590224-9.866935695606347j),(4.578188697626332+7.885376573573909j),(-3.0045225338345274-9.510630873787218j)
3,(7+0j),(-113.76298679430943+0j),(-13.300700366622728+0j),(10+0j),(3.248376499769896+2.441455101999673j),(11.91865816902684-2.5728680427949904j),(5.81686905192464+11.778888317873761j),(7.0217235448401585+6.328365549307171j),(-17.50089700745088+11.001893796908105j),(19.207467767897523-5.34146144414719j),(3.7715918410178646+19.47048920713531j),(-29.18596733990844+5.0982961445691135j),(-17.81924732082182-3.272889518025015j),(-1.712853682918847+9.057837064171686j),(-8.366108604877846-16.638000700737464j),(-8.271318255754803-9.185587636263692j)
4,(7+0j),(8.009443220096008+0j),(-179.07076532713492+0j),(4+0j),(0.24981749671790052+3.3615914867777192j),(19.007608111034926+14.247079791952434j),(-3.7805295161999926+25.502317880008974j),(2.159010108547887+13.545843597986714j),(0.547152866393249+9.551077475305638j),(21.277261551268865+5.934640664280676j),(-15.559584045966325-3.7976025811493703j),(-8.44703024270202+9.445783854038764j),(27.66109386326592+0.018889704792963265j),(0.3879567231953132+15.590005267030882j),(-1.7043223481269623+15.059547923081126j),(-15.06167470832885-18.309062209153964j)
5,(5+0j),(-165.43081812883617+0j),(-163.3443493292361+0j),(10+0j),(-3.8909964765391676-6.331251001625285j),(-6.239861581682376-1.0697808392895674j),(3.7748312264524437-9.39945721297683j),(-7.238293323104886+2.794268535599591j),(-11.520914742293801-1.436964264198284j),(5.345434791746256-13.1360079105389j),(-4.858485691459448+1.7173112538282196j),(-0.2753739397891538+20.615426019145218j),(-6.47087551377933-11.30583551071268j),(0.2818974808029093+1.0754781434112723j),(6.20253118608562-9.083345229284731j),(0.7831537168252617-0.7385558662548333j)
6,(4+0j),(186.48332268589013+0j),(-83.49581695970072+0j),(7+0j),(2.7632375996576353+5.5804038834630525j),(-13.317934006525691-11.70585607467055j),(-3.429365015143284+8.209285655108069j),(12.133643760911015+6.313735110365211j),(-16.57882163213946+7.843373649067744j),(5.793893596137634-10.679476107618042j),(13.921182966618728-17.91631354769485j),(2.0063316693271953+17.734103623541483j),(-9.42568964611717+10.137654008069322j),(-3.377107149307159+11.507180974931723j),(-15.142227669852188-2.264832114957174j),(4.574088721437209-6.3288905856167785j)
7,(7+0j),(-115.03347867676645+0j),(162.11575049073167+0j),(2+0j),(1.7190223178674549+7.788027427988247j),(-1.5095406197293992+6.926629488140198j),(-6.620329341119651-17.00506792596073j),(-0.6777068629696681+13.734336593256412j),(15.820666695416328+11.023453543369614j),(17.489718946369006+2.114911459439345j),(-1.4224054331546703-9.111197173408058j),(-8.43095952623497+5.659707247229033j),(16.650469226901034-7.727372543858383j),(1.6125216175253756+9.46322505963378j),(-8.50263263644987+6.368213343998857j),(7.9834941416346155-6.819487499566685j)
8,(5+0j),(57.67077822000599+0j),(339.14346809081235+0j),(2+0j),(-4.072689058757055-14.295602077954753j),(1.7273242783155738+4.217916741077017j),(27.387424616520395-3.9059933131329534j),(2.154548368024423+12.179498046216741j),(5.998894980807411+2.257547225663065j),(-8.137195783052826-0.14957611339202428j),(-5.20954700884735+1.9354329654443827j),(-5.24719532437328+8.496128937797684j),(-21.207566739495462+2.2678738892027943j),(20.495736703253638-14.55548760200658j),(6.781054511767425-18.483612255735316j),(-15.578162655681105-0.1862964591424415j)
9,(6+0j),(-157.0390691900801+0j),(-67.72932361491482+0j),(2+0j),(-3.0720116812837945+12.42346137676848j),(-30.44607725530073-4.703716094196277j),(-16.068533317221373+23.92525915279807j),(6.203593675431817-9.425350429876007j),(-8.403948423146502-16.841727555096384j),(4.617582124768112-13.323323991461766j),(1.3688424290865084+12.016858449242033j),(-1.055068020217106+8.818655916410663j),(-4.684135933847464-7.347336391259031j),(10.811608084304495+8.850283942050993j),(-11.48914248144225+9.012073771570083j),(8.967980993795724+5.341065893736149j)
